order_id,late,est_delivery_days,n_items,freight_ratio,max_installments,payment_type,seller_state,customer_state,cross_state,category,actual_delivery_days
00e7ee1b050b8499577073aeb2a297a1,false,20,1,0.17505400432034562,2,credit_card,SP,SP,false,moveis_escritorio,9
29150127e6685892b6eab3eec79f59c7,false,25,1,0.1608304498269896,8,credit_card,SC,SP,true,utilidades_domesticas,17
b2059ed67ce144a36e2aa97d2c9e9ad2,true,25,1,0.12712591110475918,7,credit_card,SP,SP,false,moveis_escritorio,26
951670f92359f4fe4a63112aa7306eba,false,28,1,0.1557956515939709,1,credit_card,SP,SP,false,moveis_escritorio,15
6b7d50bd145f6fc7f33cebabd7e49d0f,false,17,1,0.0967391304347826,8,credit_card,SP,SP,false,casa_conforto,11
5741ea1f91b5fbab2bd2dc653a5b5099,false,20,1,0.08584070796460178,1,debit_card,SP,SC,true,esporte_lazer,14
36e694cf4cbc2a4803200c35e84abdc4,false,14,1,0.5190126751167445,1,credit_card,SP,SP,false,informatica_acessorios,1
1093c8304c7a003280dd34598194913d,false,22,1,0.8095477386934674,3,credit_card,SP,MG,true,,11
1ebeea841c590e86a14a0d7a48e7d062,false,33,1,0.564,1,debit_card,RJ,PR,true,brinquedos,8
7433cbcc783205509d66a5260da5b574,false,28,1,0.22592592592592592,1,credit_card,PR,MG,true,moveis_decoracao,5
8428e578bb1cf839ae26a6b7615502b9,false,23,1,0.5968379446640316,1,credit_card,SP,MG,true,automotivo,11
f86c5ed7048ac10eb88ec21c00f71892,false,27,1,0.17882986913010007,1,credit_card,SP,RJ,true,informatica_acessorios,19
83d8f70418eefd96f37b483dff430305,false,23,1,0.18494949494949495,1,credit_card,MG,SP,true,climatizacao,11
852d2f4d37773bcbc21c8e09a05a4ea5,false,12,1,0.30010718113612006,3,credit_card,SP,SP,false,telefonia,8
6c949e670b5d33dc8fb8ad25b6da4860,false,23,1,0.21988095238095237,10,credit_card,PR,RS,true,beleza_saude,12
eac76692452422620996fe5e1a7f8bb0,false,24,1,0.3118604651162791,3,credit_card,ES,SP,true,ferramentas_jardim,10
72bab69c50432c6f94d8b50a5f84b69a,false,17,1,0.1420350291909925,2,credit_card,SP,RJ,true,automotivo,4
ec28553b12bef4b538e5d7454464a1c6,false,15,1,1.3314527503526092,1,credit_card,SP,SP,false,pet_shop,3
17825f24877a9289214c301ae0c9424b,true,19,1,0.13492769744160177,1,credit_card,SP,SP,false,cama_mesa_banho,27
ab797176e01c2fa3d13aa1fe3e63d9ee,false,41,1,0.8840979648154537,5,credit_card,SP,PA,true,telefonia,31
830d8b3e6875ef6165ffc33219ab4fea,false,38,1,0.17142857142857143,1,credit_card,RS,SC,true,informatica_acessorios,6
aaff8afa47c8426e414a6d908a97713c,false,22,3,0.29499165275459105,2,credit_card,SP,GO,true,ferramentas_jardim,10
0198c71148c2e08c7c52b860f640fa4e,false,21,1,0.10222972972972974,1,boleto,SP,SP,false,esporte_lazer,10
eac4ffbe456464bdc3ce5f001b6439c5,false,26,1,0.18435544430538173,1,credit_card,SP,PR,true,bebes,6
